Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005362,ТО,A0005362_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6369_30402,,960005362,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005364,Т1,A0005364_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,2-0385,49711_30404,,960005364,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005364,Т2,A0005364_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,2-0385,49712_30404,,960005364,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005364,ТО,A0005364_ТО,"4,000","2,000",Техническое обслуживание,1100,100,2-0385,49710_30404,,960005364,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005370,Т1,A0005370_Т1,"18,000","6,000",Текущий ремонт 1,1100,100,1-0205,45492_30410,,960005370,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005370,Т2,A0005370_Т2,"36,000","12,000",Текущий ремонт 2,1100,100,1-0205,45493_30410,,960005370,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005370,ТО,A0005370_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0205,45491_30410,,960005370,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005373,Т1,A0005373_Т1,"8,000","8,000",Текущий ремонт 1,1100,100,1-0137,3802_30413,,960005373,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005373,Т2,A0005373_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0137,3803_30413,,960005373,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005373,ТО,A0005373_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,3801_30413,,960005373,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005374,Т1,A0005374_Т1,"8,000","8,000",Текущий ремонт 1,1100,100,1-0137,3787_30414,,960005374,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005374,Т2,A0005374_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0137,3788_30414,,960005374,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005374,ТО,A0005374_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,3786_30414,,960005374,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005376,Т1,A0005376_Т1,"24,000","12,000",Текущий ремонт 1,1100,100,1-0205,6228_30416,,960005376,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005376,Т2,A0005376_Т2,"72,000","24,000",Текущий ремонт 2,1100,100,1-0205,6229_30416,,960005376,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005376,ТО,A0005376_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0205,6227_30416,,960005376,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005377,КР,A0005377_КР,"72,000","24,000",Капитальный ремонт,1100,100,1-0206,48844_30417,,960005377,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005377,ТО,A0005377_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0206,48842_30417,,960005377,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
